Team1	Score1	Team2	Score2
NOP	94	OKC	116
WAS	96	ORL	86
PHO	104	SAS	112
NYK	108	TOR	100
POR	111	UTA	99
MIA	85	ATL	98
PHI	105	CHA	111
BOS	111	CLE	99
PHO	98	DAL	101
UTA	94	DEN	101
NOP	104	HOU	111
SAC	101	LAC	117
MIL	91	WAS	104
ORL	88	BRK	97
TOR	116	DET	107
OKC	97	IND	102
MEM	102	LAL	90
CHI	89	NYK	100
GSW	117	POR	119
MIN	103	SAC	106
CHA	95	ATL	93
ORL	95	CHI	108
MIN	120	GSW	130
SAS	98	HOU	104
OKC	89	NOP	101
BOS	108	PHI	113
MEM	97	PHO	91
MIL	100	TOR	110
LAL	119	UTA	104
MIA	93	WAS	114
NYK	109	BRK	98
DEN	105	LAC	117
WAS	118	BOS	102
CHI	86	CHA	91
BRK	85	CLE	114
GSW	116	DEN	112
DAL	105	MEM	106
PHI	100	MIA	87
ATL	111	MIL	103
UTA	136	MIN	130
HOU	100	NOP	105
TOR	92	NYK	95
DET	111	OKC	112
IND	101	ORL	86
LAC	104	POR	110
PHO	104	SAC	99
LAL	113	SAS	100
